week,model,split_type,fold_or_seed,held_out_module,held_out_presentation,auroc,auprc,f1,precision,recall,balanced_acc
8,LightGBM,random_student,42,,,0.8407674855126093,0.8662767702222886,0.7757986162225821,0.7830609212481426,0.7686697782963827,0.7659821005619397
8,LightGBM,random_student,123,,,0.8472045030454028,0.8730174318626788,0.7831325301204819,0.7950477326968973,0.7715691951360741,0.7733459723634544
8,LightGBM,random_student,7,,,0.8381096619439848,0.8637825541832879,0.7701166395984055,0.7815403056637699,0.7590221187427241,0.7610130099565375
8,GNN,lcpo,0,AAA,2013J,0.8334361082562523,0.7168770447716107,0.5644171779141104,0.7931034482758621,0.4380952380952381,0.6974648852346694
8,GNN,lcpo,1,AAA,2014J,0.8020539243365331,0.7000714136264445,0.5968586387434555,0.7215189873417721,0.5089285714285714,0.7109860248447204
8,GNN,lcpo,2,BBB,2013B,0.8856931734212472,0.9148925247324866,0.8205383848454636,0.789827255278311,0.8537344398340249,0.790503583553376
8,GNN,lcpo,3,BBB,2013J,0.8727812119659214,0.9041054603230084,0.7507629704984741,0.9213483146067416,0.6334763948497855,0.7873538690666837
8,GNN,lcpo,4,BBB,2014B,0.8799357885617942,0.9203423974785614,0.8074608904933814,0.8646907216494846,0.7573363431151241,0.8064535910898867
8,GNN,lcpo,5,BBB,2014J,0.8233659234892786,0.8408078826203566,0.7299593646102697,0.6305041480536057,0.8666666666666667,0.68203125
8,GNN,lcpo,6,CCC,2014B,0.8824477280186351,0.9403314495777582,0.7469879518072289,0.9663341645885288,0.6087981146897093,0.7840370663946284
8,GNN,lcpo,7,CCC,2014J,0.8107377868719045,0.8752054227494925,0.7244936950706916,0.8359788359788359,0.6392447741065408,0.7279967712897236
8,GNN,lcpo,8,DDD,2013B,0.899535148233316,0.938879932502571,0.8206185567010309,0.9018126888217524,0.7528373266078184,0.8126931731078308
8,GNN,lcpo,9,DDD,2013J,0.9012265040609728,0.9311139242056334,0.8016235413495687,0.9164733178654292,0.7123534715960325,0.8127509215639994
8,GNN,lcpo,10,DDD,2014B,0.9002650715916279,0.9338963691527588,0.8571428571428571,0.8653061224489796,0.8491321762349799,0.8212257958419158
8,GNN,lcpo,11,DDD,2014J,0.8571671212620768,0.9036723787534676,0.7334905660377359,0.908029197080292,0.6152324431256182,0.7678434942900818
8,GNN,lcpo,12,EEE,2013J,0.8835525803689577,0.8804322416939124,0.758703481392557,0.8102564102564103,0.7133182844243793,0.795903805594784
8,GNN,lcpo,13,EEE,2014B,0.8315171766035792,0.8573985665955167,0.7384615384615385,0.7667731629392971,0.712166172106825,0.753842189694869
8,GNN,lcpo,14,EEE,2014J,0.8197287199480182,0.8367579653511552,0.7006960556844548,0.8435754189944135,0.5992063492063492,0.7586675020885547
8,GNN,lcpo,15,FFF,2013B,0.872737556561086,0.8994291433479056,0.786046511627907,0.7612612612612613,0.8125,0.7707001278772379
8,GNN,lcpo,16,FFF,2013J,0.8912611656903895,0.9157268786785792,0.8113207547169812,0.7912,0.8324915824915825,0.7970677090540104
8,GNN,lcpo,17,FFF,2014B,0.8880936372640451,0.9222675975431736,0.8201438848920863,0.8321167883211679,0.8085106382978723,0.7987507319929729
8,GNN,lcpo,18,FFF,2014J,0.904331083717834,0.930447876407158,0.8304195804195804,0.9134615384615384,0.7612179487179487,0.8403224927117049
8,GNN,lcpo,19,GGG,2013J,0.7048001126126127,0.5843358939137901,0.5993945509586277,0.4706814580031696,0.825,0.6304054054054054
8,GNN,lcpo,20,GGG,2014B,0.7092698450114914,0.6753517797898592,0.6338028169014085,0.4929577464788732,0.8873239436619719,0.6047498379397725
8,GNN,lcpo,21,GGG,2014J,0.7121473932949343,0.6751479021152629,0.6034912718204489,0.4869215291750503,0.7934426229508197,0.6095591493132477
2,LightGBM,lcpo,0,AAA,2013J,0.6801644398766701,0.5014114923198416,0.42105263157894735,0.5454545454545454,0.34285714285714286,0.6174717368961973
2,LightGBM,lcpo,1,AAA,2014J,0.6416749011857708,0.5013254048064422,0.411214953271028,0.43137254901960786,0.39285714285714285,0.5818040654997176
2,LightGBM,lcpo,2,BBB,2013B,0.7673952191729149,0.8086444281422569,0.7318066157760814,0.7182817182817183,0.745850622406639,0.6973337794474042
2,LightGBM,lcpo,3,BBB,2013J,0.766299804624944,0.7813464936134782,0.7266028002947679,0.6365397030342156,0.8463519313304722,0.6605826820831465
2,LightGBM,lcpo,4,BBB,2014B,0.7757885928442128,0.8202045868816161,0.7378048780487805,0.6709796672828097,0.8194130925507901,0.6648647305945148
2,LightGBM,lcpo,5,BBB,2014J,0.7352727521929824,0.7461391521612915,0.6879120879120879,0.590566037735849,0.8236842105263158,0.6292900219298245
2,LightGBM,lcpo,6,CCC,2014B,0.7671762644268536,0.8692393899509105,0.7284710017574693,0.8265204386839482,0.6512175962293795,0.6943870786576762
2,LightGBM,lcpo,7,CCC,2014J,0.7360778477922197,0.8040702220817169,0.7107438016528925,0.7607692307692308,0.6668914362778152,0.6802437476955578
2,LightGBM,lcpo,8,DDD,2013B,0.7252491160398586,0.8106716060757384,0.6553002223869533,0.7949640287769785,0.5573770491803278,0.666923818707811
