week,model,split_type,fold_or_seed,held_out_module,held_out_presentation,feature_set,auroc,auprc,f1,precision,recall,balanced_acc
8,GNN,lcpo,21,GGG,2014J,full,0.6632255206025698,0.6324685175589733,0.5853107344632769,0.446551724137931,0.8491803278688524,0.5631036774479398
8,GNN,lcpo,21,GGG,2014J,full,0.6551838723969872,0.6183229511512467,0.5415986949429038,0.538961038961039,0.5442622950819672,0.6122212376310737
8,LightGBM,lcpo,0,AAA,2013J,full,0.6709832134292566,0.503550546944413,0.46923076923076923,0.3935483870967742,0.580952380952381,0.6214114422747516
8,LightGBM,lcpo,1,AAA,2014J,full,0.7035573122529645,0.5861759808398245,0.5,0.3576923076923077,0.8303571428571429,0.5851390457368718
8,LightGBM,lcpo,2,BBB,2013B,full,0.784380926298166,0.8453644250134684,0.7325942350332594,0.6398140975987606,0.8568464730290456,0.6388840086191305
8,LightGBM,lcpo,3,BBB,2013J,full,0.8059549356223176,0.8464468222604444,0.7178299702282501,0.5839612486544672,0.9313304721030042,0.6051241912753828
8,LightGBM,lcpo,4,BBB,2014B,full,0.8170595011504033,0.8753068238715447,0.7275847275847276,0.5868512110726644,0.9571106094808126,0.5679638329384806
8,LightGBM,lcpo,5,BBB,2014J,full,0.7897002162524367,0.822970861018445,0.6838790931989924,0.5333988212180747,0.9526315789473684,0.5639894005847953
8,LightGBM,lcpo,6,CCC,2014B,full,0.809507475719758,0.899366427787453,0.8099344601586754,0.7220172201722017,0.9222309505106049,0.6202406637922557
8,LightGBM,lcpo,7,CCC,2014J,full,0.7750020760739945,0.8439036466589731,0.7708451503119682,0.6651982378854625,0.916385704652731,0.6212470395184837
8,LightGBM,lcpo,8,DDD,2013B,full,0.7760613703236654,0.8642471938275949,0.7534246575342466,0.7441574415744158,0.7629255989911727,0.6775412308681354
8,LightGBM,lcpo,9,DDD,2013J,full,0.7886972582043397,0.8470579081169334,0.764063132335087,0.6930983847283406,0.8512173128944995,0.6734976793664296
8,LightGBM,lcpo,10,DDD,2014B,full,0.7950266325873607,0.8700126394695323,0.7800687285223368,0.683049147442327,0.9092122830440588,0.6247522793090857
8,LightGBM,lcpo,11,DDD,2014J,full,0.7914044000839253,0.842722309561434,0.7550266721378744,0.6451612903225806,0.9099901088031652,0.6355506099571382
8,LightGBM,lcpo,12,EEE,2013J,full,0.8101354031143086,0.8112298458145528,0.6565910999160369,0.5227272727272727,0.8826185101580135,0.6482058068031447
8,LightGBM,lcpo,13,EEE,2014B,full,0.830474029374361,0.8544462307957285,0.6869747899159664,0.5317073170731708,0.9703264094955489,0.5818018602099594
8,LightGBM,lcpo,14,EEE,2014J,full,0.8356176900584795,0.8326533302476584,0.6916192026037429,0.5862068965517241,0.8432539682539683,0.7023287385129491
8,LightGBM,lcpo,15,FFF,2013B,full,0.7784327046035806,0.8193480654136245,0.6254653760238272,0.821917808219178,0.5048076923076923,0.6942197029313397
8,LightGBM,lcpo,16,FFF,2013J,full,0.8033404824500714,0.8420188842788427,0.716696269982238,0.7584586466165414,0.6792929292929293,0.7222948664729487
8,LightGBM,lcpo,17,FFF,2014B,full,0.8030794311782015,0.8560863878872325,0.741011578305911,0.7647798742138365,0.7186761229314421,0.7163717006094519
8,LightGBM,lcpo,18,FFF,2014J,full,0.8413859668755596,0.8786983564194253,0.7645631067961165,0.7720588235294118,0.7572115384615384,0.7537176761242339
8,LightGBM,lcpo,19,GGG,2013J,full,0.6352876313813813,0.5421015569408061,0.5488086087624904,0.3793836344314559,0.9916666666666667,0.5025900900900901
8,LightGBM,lcpo,20,GGG,2014B,full,0.6998438328717073,0.6631938081623325,0.6035805626598465,0.43276283618581907,0.9971830985915493,0.5132359007602098
8,LightGBM,lcpo,21,GGG,2014J,full,0.7037808300103381,0.6447865473542842,0.5866408518877058,0.41620879120879123,0.9934426229508196,0.5181177078718062
